DATE,YEAR,QUARTER,MONTH
07-02-2003,2003,1,2
11-02-2003,2003,1,2
26-02-2003,2003,1,2
09-03-2003,2003,1,3
17-03-2003,2003,1,3
16-04-2003,2003,2,4
21-04-2003,2003,2,4
20-05-2003,2003,2,5
21-05-2003,2003,2,5
24-05-2003,2003,2,5
25-05-2003,2003,2,5
28-05-2003,2003,2,5
05-06-2003,2003,2,6
13-06-2003,2003,2,6
16-06-2003,2003,2,6
05-07-2003,2003,3,7
10-07-2003,2003,3,7
03-08-2003,2003,3,8
15-08-2003,2003,3,8
25-08-2003,2003,3,8
26-08-2003,2003,3,8
27-08-2003,2003,3,8
01-09-2003,2003,3,9
18-09-2003,2003,3,9
26-10-2003,2003,4,10
03-11-2003,2003,4,11
24-11-2003,2003,4,11
28-11-2003,2003,4,11
19-12-2003,2003,4,12
02-01-2004,2004,1,1
05-01-2004,2004,1,1
15-01-2004,2004,1,1
24-01-2004,2004,1,1
27-01-2004,2004,1,1
04-02-2004,2004,1,2
08-02-2004,2004,1,2
09-02-2004,2004,1,2
10-02-2004,2004,1,2
15-02-2004,2004,1,2
16-02-2004,2004,1,2
18-02-2004,2004,1,2
10-03-2004,2004,1,3
02-04-2004,2004,2,4
03-04-2004,2004,2,4
13-04-2004,2004,2,4
22-04-2004,2004,2,4
20-06-2004,2004,2,6
10-07-2004,2004,3,7
23-07-2004,2004,3,7
18-08-2004,2004,3,8
25-08-2004,2004,3,8
26-08-2004,2004,3,8
04-09-2004,2004,3,9
11-09-2004,2004,3,9
06-10-2004,2004,4,10
21-10-2004,2004,4,10
23-10-2004,2004,4,10
18-11-2004,2004,4,11
08-12-2004,2004,4,12
18-12-2004,2004,4,12
21-12-2004,2004,4,12
04-01-2005,2005,1,1
06-01-2005,2005,1,1
09-01-2005,2005,1,1
14-01-2005,2005,1,1
21-01-2005,2005,1,1
22-01-2005,2005,1,1
27-01-2005,2005,1,1
08-02-2005,2005,1,2
09-02-2005,2005,1,2
11-02-2005,2005,1,2
12-02-2005,2005,1,2
15-02-2005,2005,1,2
22-02-2005,2005,1,2
26-02-2005,2005,1,2
01-03-2005,2005,1,3
23-03-2005,2005,1,3
05-04-2005,2005,2,4
04-05-2005,2005,2,5
05-05-2005,2005,2,5
06-05-2005,2005,2,5
18-05-2005,2005,2,5
01-06-2005,2005,2,6
19-06-2005,2005,2,6
28-06-2005,2005,2,6
16-07-2005,2005,3,7
26-07-2005,2005,3,7
12-08-2005,2005,3,8
13-09-2005,2005,3,9
21-09-2005,2005,3,9
01-10-2005,2005,4,10
08-10-2005,2005,4,10
23-10-2005,2005,4,10
24-10-2005,2005,4,10
19-11-2005,2005,4,11
12-12-2005,2005,4,12
13-12-2005,2005,4,12
15-12-2005,2005,4,12
10-01-2006,2006,1,1
03-02-2006,2006,1,2
09-02-2006,2006,1,2
18-02-2006,2006,1,2
16-03-2006,2006,1,3
06-04-2006,2006,2,4
17-04-2006,2006,2,4
24-04-2006,2006,2,4
27-04-2006,2006,2,4
14-05-2006,2006,2,5
17-05-2006,2006,2,5
27-05-2006,2006,2,5
12-06-2006,2006,2,6
13-06-2006,2006,2,6
01-07-2006,2006,3,7
14-07-2006,2006,3,7
17-07-2006,2006,3,7
22-07-2006,2006,3,7
28-07-2006,2006,3,7
03-08-2006,2006,3,8
06-08-2006,2006,3,8
03-09-2006,2006,3,9
05-09-2006,2006,3,9
07-09-2006,2006,3,9
17-09-2006,2006,3,9
27-09-2006,2006,3,9
03-10-2006,2006,4,10
06-10-2006,2006,4,10
13-10-2006,2006,4,10
20-10-2006,2006,4,10
03-11-2006,2006,4,11
13-11-2006,2006,4,11
12-12-2006,2006,4,12
13-12-2006,2006,4,12
15-12-2006,2006,4,12
03-01-2007,2007,1,1
20-01-2007,2007,1,1
25-01-2007,2007,1,1
27-01-2007,2007,1,1
03-02-2007,2007,1,2
05-02-2007,2007,1,2
10-02-2007,2007,1,2
17-02-2007,2007,1,2
21-02-2007,2007,1,2
23-02-2007,2007,1,2
25-02-2007,2007,1,2
02-03-2007,2007,1,3
05-03-2007,2007,1,3
07-03-2007,2007,1,3
14-03-2007,2007,1,3
26-03-2007,2007,1,3
27-03-2007,2007,1,3
05-04-2007,2007,2,4
06-04-2007,2007,2,4
21-04-2007,2007,2,4
27-04-2007,2007,2,4
28-04-2007,2007,2,4
05-05-2007,2007,2,5
08-05-2007,2007,2,5
18-05-2007,2007,2,5
19-05-2007,2007,2,5
17-07-2007,2007,3,7
18-07-2007,2007,3,7
25-07-2007,2007,3,7
01-08-2007,2007,3,8
08-08-2007,2007,3,8
03-09-2007,2007,3,9
28-09-2007,2007,3,9
11-10-2007,2007,4,10
20-10-2007,2007,4,10
06-11-2007,2007,4,11
15-11-2007,2007,4,11
16-11-2007,2007,4,11
22-11-2007,2007,4,11
13-12-2007,2007,4,12
20-12-2007,2007,4,12
22-12-2007,2007,4,12
08-01-2008,2008,1,1
16-01-2008,2008,1,1
27-01-2008,2008,1,1
02-02-2008,2008,1,2
06-02-2008,2008,1,2
02-03-2008,2008,1,3
05-03-2008,2008,1,3
07-03-2008,2008,1,3
20-03-2008,2008,1,3
11-04-2008,2008,2,4
14-04-2008,2008,2,4
19-04-2008,2008,2,4
21-04-2008,2008,2,4
07-05-2008,2008,2,5
12-05-2008,2008,2,5
14-05-2008,2008,2,5
03-06-2008,2008,2,6
14-06-2008,2008,2,6
16-06-2008,2008,2,6
21-06-2008,2008,2,6
13-07-2008,2008,3,7
16-07-2008,2008,3,7
18-07-2008,2008,3,7
22-07-2008,2008,3,7
23-07-2008,2008,3,7
01-08-2008,2008,3,8
04-08-2008,2008,3,8
05-08-2008,2008,3,8
09-08-2008,2008,3,8
13-08-2008,2008,3,8
18-08-2008,2008,3,8
04-09-2008,2008,3,9
03-10-2008,2008,4,10
06-10-2008,2008,4,10
08-10-2008,2008,4,10
19-10-2008,2008,4,10
01-11-2008,2008,4,11
18-11-2008,2008,4,11
03-12-2008,2008,4,12
19-12-2008,2008,4,12
27-12-2008,2008,4,12
10-01-2009,2009,1,1
12-01-2009,2009,1,1
03-02-2009,2009,1,2
10-02-2009,2009,1,2
11-02-2009,2009,1,2
15-02-2009,2009,1,2
21-02-2009,2009,1,2
19-03-2009,2009,1,3
27-03-2009,2009,1,3
28-03-2009,2009,1,3
19-04-2009,2009,2,4
27-04-2009,2009,2,4
05-05-2009,2009,2,5
15-05-2009,2009,2,5
19-05-2009,2009,2,5
25-05-2009,2009,2,5
04-06-2009,2009,2,6
23-06-2009,2009,2,6
01-07-2009,2009,3,7
03-07-2009,2009,3,7
06-07-2009,2009,3,7
26-07-2009,2009,3,7
27-07-2009,2009,3,7
19-08-2009,2009,3,8
11-09-2009,2009,3,9
14-09-2009,2009,3,9
24-09-2009,2009,3,9
04-10-2009,2009,4,10
06-11-2009,2009,4,11
09-11-2009,2009,4,11
02-12-2009,2009,4,12
28-12-2009,2009,4,12
01-01-2010,2010,1,1
07-01-2010,2010,1,1
12-01-2010,2010,1,1
21-01-2010,2010,1,1
04-02-2010,2010,1,2
21-02-2010,2010,1,2
26-02-2010,2010,1,2
02-03-2010,2010,1,3
09-03-2010,2010,1,3
15-03-2010,2010,1,3
27-03-2010,2010,1,3
09-04-2010,2010,2,4
22-04-2010,2010,2,4
25-04-2010,2010,2,4
04-05-2010,2010,2,5
07-05-2010,2010,2,5
10-05-2010,2010,2,5
18-05-2010,2010,2,5
19-05-2010,2010,2,5
25-05-2010,2010,2,5
02-06-2010,2010,2,6
22-06-2010,2010,2,6
24-06-2010,2010,2,6
09-07-2010,2010,3,7
23-07-2010,2010,3,7
02-08-2010,2010,3,8
14-08-2010,2010,3,8
26-08-2010,2010,3,8
02-09-2010,2010,3,9
08-09-2010,2010,3,9
18-09-2010,2010,3,9
23-09-2010,2010,3,9
03-10-2010,2010,4,10
11-10-2010,2010,4,10
13-10-2010,2010,4,10
19-10-2010,2010,4,10
22-10-2010,2010,4,10
15-11-2010,2010,4,11
